cluster,name,description,entity,risk_tier,human_approval,dependencies,purpose
06-dim-investment-management,investment-thesis-builder,"Builds a falsifiable investment thesis covering value drivers, variant perception, competitive advantage, catalysts, downside, national consequence, entry valuation, ownership plan, and exit logic. Use for shortlisted opportunities.",DIM,critical,Investment team and committee,,"Builds a falsifiable investment thesis covering value drivers, variant perception, competitive advantage, catalysts, downside, national consequence, entry valuation, ownership plan, and exit logic. Use for shortlisted opportunities."
06-dim-investment-management,commercial-due-diligence,"Tests market size, demand, customers, competition, pricing, business model, unit economics, growth, and commercial assumptions using independent evidence. Use before material investment decisions.",DIM,critical,Investment committee,,"Tests market size, demand, customers, competition, pricing, business model, unit economics, growth, and commercial assumptions using independent evidence. Use before material investment decisions."
06-dim-investment-management,financial-due-diligence,"Tests earnings quality, cash flow, debt, working capital, accounting, tax exposure, forecasts, contingent liabilities, and funding needs. Use before investments, acquisitions, restructurings, and valuation reliance.",DIM,critical,Investment committee,,"Tests earnings quality, cash flow, debt, working capital, accounting, tax exposure, forecasts, contingent liabilities, and funding needs. Use before investments, acquisitions, restructurings, and valuation reliance."
06-dim-investment-management,legal-tax-due-diligence,"Reviews ownership, authority, licenses, contracts, litigation, compliance, land, tax, sanctions, change-of-control, and transaction enforceability. Use before commitments, signing, closing, or material restructuring.",DIM,critical,Legal/tax and investment authority,,"Reviews ownership, authority, licenses, contracts, litigation, compliance, land, tax, sanctions, change-of-control, and transaction enforceability. Use before commitments, signing, closing, or material restructuring."
06-dim-investment-management,technical-operational-due-diligence,"Tests technology, design, capacity, reliability, resources, operations, supply chain, capex, schedule, standards, and execution readiness. Use for infrastructure, industrial, energy, digital, and technology investments.",DIM/DDMF,critical,Technical and investment authority,,"Tests technology, design, capacity, reliability, resources, operations, supply chain, capex, schedule, standards, and execution readiness. Use for infrastructure, industrial, energy, digital, and technology investments."
06-dim-investment-management,esg-impact-due-diligence,"Assesses environmental, social, governance, climate, community, labor, human-rights, transition, and measurable development impacts. Use before investment approval and throughout ownership.",DIM/DDMF,critical,ESG and investment authority,,"Assesses environmental, social, governance, climate, community, labor, human-rights, transition, and measurable development impacts. Use before investment approval and throughout ownership."
06-dim-investment-management,integrity-counterparty-due-diligence,"Assesses beneficial ownership, reputation, sanctions, politically exposed persons, corruption risk, litigation, governance, financial credibility, and conduct history. Use for sponsors, sellers, partners, co-investors, advisers, and key contractors.",DIM/DDMF,critical,Compliance and investment authority,,"Assesses beneficial ownership, reputation, sanctions, politically exposed persons, corruption risk, litigation, governance, financial credibility, and conduct history. Use for sponsors, sellers, partners, co-investors, advisers, and key contractors."
06-dim-investment-management,valuation-orchestrator,"Selects and reconciles DCF, comparables, transactions, asset value, project finance, option value, and scenario methods; documents assumptions and valuation range. Use when estimating intrinsic value or negotiating price.",DIM/DAM,critical,Investment or transaction authority,,"Selects and reconciles DCF, comparables, transactions, asset value, project finance, option value, and scenario methods; documents assumptions and valuation range."
06-dim-investment-management,dcf-model-challenger,"Challenges cash-flow logic, forecast drivers, terminal value, discount rate, inflation, currency, tax, capex, working capital, scenarios, and model integrity. Use before relying on a DCF for valuation or capital allocation.",DIM/DAM/DDMF,critical,Independent model reviewer,,"Challenges cash-flow logic, forecast drivers, terminal value, discount rate, inflation, currency, tax, capex, working capital, scenarios, and model integrity. Use before relying on a DCF for valuation or capital allocation."
06-dim-investment-management,comparable-transactions-analyzer,"Selects, normalizes, and interprets comparable companies and precedent transactions, including business-model, growth, risk, geography, control, cycle, and accounting differences. Use to triangulate valuation and market expectations.",DIM/DAM,high,Valuation owner,,"Selects, normalizes, and interprets comparable companies and precedent transactions, including business-model, growth, risk, geography, control, cycle, and accounting differences. Use to triangulate valuation and market expectations."
06-dim-investment-management,risk-adjusted-return-analyzer,"Measures expected return relative to market, credit, liquidity, operational, execution, political, currency, climate, and downside risk against appropriate benchmarks. Use for investment comparison and portfolio allocation.",DIM,critical,Investment committee,,"Measures expected return relative to market, credit, liquidity, operational, execution, political, currency, climate, and downside risk against appropriate benchmarks. Use for investment comparison and portfolio allocation."
06-dim-investment-management,portfolio-diversification-analyzer,"Assesses concentration and diversification across asset class, sector, geography, currency, counterparty, factor, liquidity, duration, and national exposure. Use before new allocations and during portfolio rebalancing.",DIM,critical,Portfolio committee,,"Assesses concentration and diversification across asset class, sector, geography, currency, counterparty, factor, liquidity, duration, and national exposure. Use before new allocations and during portfolio rebalancing."
06-dim-investment-management,concentration-and-liquidity-risk,"Quantifies single-name, sector, correlated, currency, funding, exit, and cash-call risks under normal and stressed conditions. Use for portfolio construction, commitment pacing, and risk-limit decisions.",DIM,critical,Portfolio risk authority,,"Quantifies single-name, sector, correlated, currency, funding, exit, and cash-call risks under normal and stressed conditions. Use for portfolio construction, commitment pacing, and risk-limit decisions."
06-dim-investment-management,deal-structuring-optimizer,"Designs equity, debt, hybrid, governance, downside protection, control, covenant, distribution, tax, currency, and exit terms aligned with risk allocation and objectives. Use after diligence and before term-sheet approval.",DIM/DDMF,critical,Investment committee and legal,,"Designs equity, debt, hybrid, governance, downside protection, control, covenant, distribution, tax, currency, and exit terms aligned with risk allocation and objectives. Use after diligence and before term-sheet approval."
06-dim-investment-management,co-investment-crowding-in,"Designs co-investment strategy, partner roles, governance, economics, syndication, knowledge transfer, and capital-mobilization metrics. Use when Danantara acts as anchor, catalyst, or strategic partner.",DIM/DDMF,high,Investment authority,,"Designs co-investment strategy, partner roles, governance, economics, syndication, knowledge transfer, and capital-mobilization metrics."
06-dim-investment-management,investment-committee-memo,"Produces a decision-ready investment memorandum covering mandate fit, thesis, diligence, valuation, structure, risks, impact, alternatives, dissent, approvals, conditions, and monitoring. Use for formal investment committee submissions.",DIM,critical,Investment committee,,"Produces a decision-ready investment memorandum covering mandate fit, thesis, diligence, valuation, structure, risks, impact, alternatives, dissent, approvals, conditions, and monitoring. Use for formal investment committee submissions."
06-dim-investment-management,investment-thesis-red-team,"Independently attempts to disprove the investment thesis, identify hidden assumptions, construct downside cases, and expose governance, valuation, execution, impact, or exit weaknesses. Use before investment committee decisions.",DIM,critical,Independent challenge function,,"Independently attempts to disprove the investment thesis, identify hidden assumptions, construct downside cases, and expose governance, valuation, execution, impact, or exit weaknesses. Use before investment committee decisions."
06-dim-investment-management,conditions-precedent-tracker,"Defines, assigns, evidences, and tracks legal, financial, technical, regulatory, governance, ESG, funding, and operational conditions before signing, closing, disbursement, or subsequent drawdown. Use after conditional approval.",DIM/DDMF,high,Transaction owner,,"Defines, assigns, evidences, and tracks legal, financial, technical, regulatory, governance, ESG, funding, and operational conditions before signing, closing, disbursement, or subsequent drawdown. Use after conditional approval."
06-dim-investment-management,post-investment-monitor,"Monitors thesis, value-creation plan, financial and operational KPIs, covenants, risk, impact, governance, liquidity, valuation, and intervention triggers. Use throughout the ownership period.",DIM,critical,Portfolio management authority,,"Monitors thesis, value-creation plan, financial and operational KPIs, covenants, risk, impact, governance, liquidity, valuation, and intervention triggers. Use throughout the ownership period."
06-dim-investment-management,exit-strategy-analyzer,"Evaluates strategic sale, IPO, secondary, refinancing, dividend recapitalization, asset sale, wind-down, or continued ownership using value, timing, readiness, impact, and market scenarios. Use from entry planning through exit decision.",DIM/DAM,critical,Authorized exit authority,,"Evaluates strategic sale, IPO, secondary, refinancing, dividend recapitalization, asset sale, wind-down, or continued ownership using value, timing, readiness, impact, and market scenarios. Use from entry planning through exit decision."
07-ddmf-development-finance,development-impact-assessor,"Defines and measures economic, social, resilience, employment, domestic-value, capability, sovereignty, regional, and environmental outcomes with attribution and baselines. Use for development investments and public-infrastructure decisions.",DDMF,critical,DDMF investment authority,,"Defines and measures economic, social, resilience, employment, domestic-value, capability, sovereignty, regional, and environmental outcomes with attribution and baselines. Use for development investments and public-infrastructure decisions."
07-ddmf-development-finance,project-readiness-gate,"Tests technical, legal, land, permitting, demand, commercial, environmental, social, institutional, procurement, funding, and stakeholder readiness using stage gates. Use before project preparation advances to investment.",DDMF,critical,Project gate authority,,"Tests technical, legal, land, permitting, demand, commercial, environmental, social, institutional, procurement, funding, and stakeholder readiness using stage gates. Use before project preparation advances to investment."
07-ddmf-development-finance,bankability-gap-analyzer,"Identifies why a project cannot yet attract finance, including weak cash flow, demand, contracts, risk allocation, sponsor, permits, tariffs, guarantees, or execution capacity. Use to define project-preparation interventions.",DDMF,critical,DDMF project/investment authority,,"Identifies why a project cannot yet attract finance, including weak cash flow, demand, contracts, risk allocation, sponsor, permits, tariffs, guarantees, or execution capacity. Use to define project-preparation interventions."
07-ddmf-development-finance,additionality-assessor,"Tests whether Danantara participation creates outcomes, scale, speed, quality, risk reduction, capability, or capital mobilization that the market would not deliver alone. Use before catalytic or concessional intervention.",DDMF/DIM,critical,Investment authority,,"Tests whether Danantara participation creates outcomes, scale, speed, quality, risk reduction, capability, or capital mobilization that the market would not deliver alone. Use before catalytic or concessional intervention."
07-ddmf-development-finance,project-finance-structurer,"Structures project cash flows, contracts, debt capacity, coverage ratios, reserves, security, covenants, risk allocation, and financing plan. Use for infrastructure and ring-fenced project investments.",DDMF/DIM,critical,"Investment, finance, and legal authorities",,"Structures project cash flows, contracts, debt capacity, coverage ratios, reserves, security, covenants, risk allocation, and financing plan. Use for infrastructure and ring-fenced project investments."
07-ddmf-development-finance,blended-finance-designer,"Combines commercial, public, development, concessional, guarantee, grant, and technical-assistance instruments while preserving additionality and avoiding hidden subsidy. Use when risk-return gaps block high-impact projects.",DDMF,critical,DDMF investment authority,,"Combines commercial, public, development, concessional, guarantee, grant, and technical-assistance instruments while preserving additionality and avoiding hidden subsidy."
07-ddmf-development-finance,ppp-risk-allocation,"Allocates construction, demand, tariff, land, regulatory, political, force-majeure, operating, financing, and residual-value risks to parties best able to manage them. Use for public-private partnership design and review.",DDMF,critical,PPP contracting authority,,"Allocates construction, demand, tariff, land, regulatory, political, force-majeure, operating, financing, and residual-value risks to parties best able to manage them. Use for public-private partnership design and review."
07-ddmf-development-finance,viability-gap-support-assessor,"Tests whether viability-gap support is necessary, proportionate, transparent, time-bound, competitively allocated, and linked to measurable public outcomes. Use when commercially weak but socially valuable projects seek support.",DDMF,critical,Public funding authority,,"Tests whether viability-gap support is necessary, proportionate, transparent, time-bound, competitively allocated, and linked to measurable public outcomes."
07-ddmf-development-finance,catalytic-capital-optimizer,"Determines the minimum, best-structured Danantara capital needed to unlock maximum external capital, capability, and development outcome. Use for anchor investments, first-loss layers, guarantees, and project-development facilities.",DDMF,critical,DDMF investment authority,,"Determines the minimum, best-structured Danantara capital needed to unlock maximum external capital, capability, and development outcome. Use for anchor investments, first-loss layers, guarantees, and project-development facilities."
07-ddmf-development-finance,multilateral-partner-matcher,"Matches projects with suitable multilateral, bilateral, development-finance, export-credit, philanthropic, and institutional partners based on instruments, mandate, geography, sector, standards, and knowledge contribution.",DDMF,high,Partnership authority,,"Matches projects with suitable multilateral, bilateral, development-finance, export-credit, philanthropic, and institutional partners based on instruments, mandate, geography, sector, standards, and knowledge contribution."
07-ddmf-development-finance,public-service-obligation-analyzer,"Separates commercial activities from public-service obligations, quantifies costs and outcomes, defines compensation mechanisms, and prevents cross-subsidy opacity. Use for infrastructure and essential-service projects.",DDMF/BPI,critical,Mandated public authority,,"Separates commercial activities from public-service obligations, quantifies costs and outcomes, defines compensation mechanisms, and prevents cross-subsidy opacity. Use for infrastructure and essential-service projects."
07-ddmf-development-finance,socioeconomic-multiplier-modeler,"Models direct, indirect, induced, regional, employment, productivity, tax, import, domestic-value, and distributional effects with transparent assumptions. Use to compare development pathways and validate claimed national impact.",DDMF/BPI,high,Impact and economic authority,,"Models direct, indirect, induced, regional, employment, productivity, tax, import, domestic-value, and distributional effects with transparent assumptions. Use to compare development pathways and validate claimed national impact."
07-ddmf-development-finance,project-delivery-monitor,"Monitors scope, schedule, cost, quality, permits, land, procurement, financing, contractors, safeguards, benefits, and critical-path risks. Use from development through commissioning and stabilization.",DDMF,high,Project sponsor,,"Monitors scope, schedule, cost, quality, permits, land, procurement, financing, contractors, safeguards, benefits, and critical-path risks. Use from development through commissioning and stabilization."
07-ddmf-development-finance,development-outcome-monitor,"Tracks whether funded projects deliver agreed return, service, resilience, employment, capability, inclusion, environmental, and capital-mobilization outcomes. Use after financial close and throughout operations.",DDMF,high,DDMF impact owner,,"Tracks whether funded projects deliver agreed return, service, resilience, employment, capability, inclusion, environmental, and capital-mobilization outcomes. Use after financial close and throughout operations."
08-cross-functional,enterprise-risk-aggregator,"Aggregates financial, investment, operational, strategic, legal, technology, ESG, reputation, concentration, and systemic risks across entities while preventing double counting. Use for enterprise risk reviews and escalation.",BPI/DAM/DIM/DDMF,critical,Enterprise risk authority,,"Aggregates financial, investment, operational, strategic, legal, technology, ESG, reputation, concentration, and systemic risks across entities while preventing double counting. Use for enterprise risk reviews and escalation."
08-cross-functional,scenario-stress-testing,"Designs coherent base, upside, downside, severe, and reverse-stress scenarios; quantifies impacts, breakpoints, management actions, and residual risk. Use for investments, portfolios, transformations, liquidity, and resilience decisions.",BPI/DAM/DIM/DDMF,high,Risk and decision owner,,"Designs coherent base, upside, downside, severe, and reverse-stress scenarios; quantifies impacts, breakpoints, management actions, and residual risk. Use for investments, portfolios, transformations, liquidity, and resilience decisions."
08-cross-functional,financial-model-validator,"Independently checks formulas, logic, inputs, circularity, units, scenarios, accounting consistency, outputs, controls, and documentation of financial models. Use before material reliance or approval.",DAM/DIM/DDMF,critical,Independent model validation,,"Independently checks formulas, logic, inputs, circularity, units, scenarios, accounting consistency, outputs, controls, and documentation of financial models. Use before material reliance or approval."
08-cross-functional,legal-sufficiency-checker,"Tests whether a proposal has adequate legal basis, authority, approvals, enforceability, documentation, rights, remedies, and compliance while distinguishing legal permissibility from strategic wisdom. Use before binding action.",BPI/DAM/DIM/DDMF,critical,Legal authority,,"Tests whether a proposal has adequate legal basis, authority, approvals, enforceability, documentation, rights, remedies, and compliance while distinguishing legal permissibility from strategic wisdom. Use before binding action."
08-cross-functional,governance-board-paper-reviewer,"Reviews board and committee papers for decision clarity, authority, evidence, alternatives, risks, conflicts, dissent, financial impact, conditions, and auditability. Use before circulation or meeting submission.",BPI/DAM/DIM/DDMF,high,Company secretary/governance owner,,"Reviews board and committee papers for decision clarity, authority, evidence, alternatives, risks, conflicts, dissent, financial impact, conditions, and auditability. Use before circulation or meeting submission."
08-cross-functional,procurement-commercial-strategy,"Designs sourcing, packaging, competition, evaluation, contracting, incentives, risk allocation, local capability, lifecycle cost, and supplier governance. Use for strategic procurement and major project contracting.",BPI/DAM/DIM/DDMF,high,Procurement authority,,"Designs sourcing, packaging, competition, evaluation, contracting, incentives, risk allocation, local capability, lifecycle cost, and supplier governance. Use for strategic procurement and major project contracting."
08-cross-functional,cybersecurity-by-design,"Defines security architecture, threat model, identity, access, encryption, monitoring, resilience, supply-chain security, incident response, and assurance from project inception. Use for digital platforms, AI, data, and critical infrastructure.",BPI/DAM/DIM/DDMF,critical,CISO/security authority,,"Defines security architecture, threat model, identity, access, encryption, monitoring, resilience, supply-chain security, incident response, and assurance from project inception. Use for digital platforms, AI, data, and critical infrastructure."
08-cross-functional,data-sovereignty-assessor,"Determines which data, models, cloud layers, cryptographic control, operational access, and intellectual property require national or enterprise control. Use for digital infrastructure, AI, cloud, data-sharing, and foreign partnerships.",BPI/DAM/DIM/DDMF,critical,"Data, security, and strategic authority",,"Determines which data, models, cloud layers, cryptographic control, operational access, and intellectual property require national or enterprise control. Use for digital infrastructure, AI, cloud, data-sharing, and foreign partnerships."
08-cross-functional,technology-transfer-assessor,"Tests whether partnerships deliver enduring local know-how, IP access, engineering capability, supplier development, training, standards, and operating independence. Use for foreign investment, procurement, licensing, and joint ventures.",BPI/DAM/DIM/DDMF,high,Technology/industrial authority,,"Tests whether partnerships deliver enduring local know-how, IP access, engineering capability, supplier development, training, standards, and operating independence. Use for foreign investment, procurement, licensing, and joint ventures."
08-cross-functional,industrialization-hilirisasi-analyzer,"Assesses value-chain upgrading, domestic value added, technology depth, productivity, export competitiveness, resource security, ecosystem readiness, and environmental constraints. Use for industrialization and downstream-investment decisions.",BPI/DIM/DDMF,high,Industrial strategy authority,,"Assesses value-chain upgrading, domestic value added, technology depth, productivity, export competitiveness, resource security, ecosystem readiness, and environmental constraints. Use for industrialization and downstream-investment decisions."
08-cross-functional,selective-import-substitution-test,"Tests whether proposed import substitution is strategically critical, economically competitive, technologically feasible, time-bound, and superior to diversification or trade alternatives. Use before granting support or protection.",BPI/DIM/DDMF,critical,Strategic and investment authority,,"Tests whether proposed import substitution is strategically critical, economically competitive, technologically feasible, time-bound, and superior to diversification or trade alternatives. Use before granting support or protection."
08-cross-functional,national-champion-competitiveness,"Assesses whether scale, capabilities, economics, governance, innovation, and international market access can support global competitiveness without permanent protection. Use for consolidation, expansion, and national-champion strategies.",BPI/DAM/DIM,high,Strategy and portfolio authority,,"Assesses whether scale, capabilities, economics, governance, innovation, and international market access can support global competitiveness without permanent protection. Use for consolidation, expansion, and national-champion strategies."
08-cross-functional,job-quality-and-productivity-impact,"Measures direct and indirect jobs, wages, skills, formalization, safety, inclusion, productivity, durability, and displacement effects. Use when employment is a stated investment, transformation, or development outcome.",BPI/DAM/DIM/DDMF,high,Impact owner,,"Measures direct and indirect jobs, wages, skills, formalization, safety, inclusion, productivity, durability, and displacement effects."
08-cross-functional,stakeholder-communications-planner,"Maps stakeholders, interests, influence, concerns, disclosures, engagement sequence, messages, evidence, commitments, and escalation. Use for transactions, transformations, projects, incidents, partnerships, and public accountability.",BPI/DAM/DIM/DDMF,high,Communications and decision owner,,"Maps stakeholders, interests, influence, concerns, disclosures, engagement sequence, messages, evidence, commitments, and escalation. Use for transactions, transformations, projects, incidents, partnerships, and public accountability."
09-sector-overlays,energy-transition-sector-pack,"Provides sector-specific market, regulation, technology, grid, resource, contracting, financing, valuation, risk, ESG, and sovereignty analysis for renewable energy, storage, grids, and transition assets. Use with DAM, DIM, or DDMF workflows.",DAM/DIM/DDMF,high,Sector and decision owner,,"Provides sector-specific market, regulation, technology, grid, resource, contracting, financing, valuation, risk, ESG, and sovereignty analysis for renewable energy, storage, grids, and transition assets. Use with DAM, DIM, or DDMF workflows."
09-sector-overlays,upstream-energy-sector-pack,"Provides sector-specific subsurface, reserves, development, production, fiscal, commodity, decommissioning, emissions, partner, valuation, and geopolitical analysis for upstream energy. Use with DAM, DIM, or DDMF workflows.",DAM/DIM/DDMF,high,Sector and decision owner,,"Provides sector-specific subsurface, reserves, development, production, fiscal, commodity, decommissioning, emissions, partner, valuation, and geopolitical analysis for upstream energy. Use with DAM, DIM, or DDMF workflows."
09-sector-overlays,minerals-downstream-sector-pack,"Provides value-chain, resource, processing, technology, power, logistics, commodity, market, ESG, local-content, and competitiveness analysis for minerals and downstream industries. Use with DAM, DIM, or DDMF workflows.",DAM/DIM/DDMF,high,Sector and decision owner,,"Provides value-chain, resource, processing, technology, power, logistics, commodity, market, ESG, local-content, and competitiveness analysis for minerals and downstream industries. Use with DAM, DIM, or DDMF workflows."
09-sector-overlays,digital-infrastructure-sector-pack,"Provides market, demand, capacity, network, cloud, data-center, spectrum, cybersecurity, data-sovereignty, power, valuation, and technology analysis for digital infrastructure. Use with DAM, DIM, or DDMF workflows.",DAM/DIM/DDMF,high,Sector and decision owner,,"Provides market, demand, capacity, network, cloud, data-center, spectrum, cybersecurity, data-sovereignty, power, valuation, and technology analysis for digital infrastructure. Use with DAM, DIM, or DDMF workflows."
09-sector-overlays,infrastructure-utilities-sector-pack,"Provides demand, tariff, regulation, concession, service, asset-life, project-finance, resilience, procurement, and public-impact analysis for transport, water, waste, utilities, and critical infrastructure.",DAM/DIM/DDMF,high,Sector and decision owner,,"Provides demand, tariff, regulation, concession, service, asset-life, project-finance, resilience, procurement, and public-impact analysis for transport, water, waste, utilities, and critical infrastructure."
09-sector-overlays,financial-services-sector-pack,"Provides capital, liquidity, credit, market, insurance, payments, regulation, conduct, digital, inclusion, valuation, and systemic-risk analysis for financial-services assets and investments.",DAM/DIM,high,Sector and decision owner,,"Provides capital, liquidity, credit, market, insurance, payments, regulation, conduct, digital, inclusion, valuation, and systemic-risk analysis for financial-services assets and investments."
09-sector-overlays,food-agriculture-sector-pack,"Provides value-chain, yield, climate, input, logistics, storage, processing, trade, price, farmer, land, water, food-security, and technology analysis for food and agriculture investments.",DAM/DIM/DDMF,high,Sector and decision owner,,"Provides value-chain, yield, climate, input, logistics, storage, processing, trade, price, farmer, land, water, food-security, and technology analysis for food and agriculture investments."
09-sector-overlays,healthcare-sector-pack,"Provides demand, outcomes, capacity, reimbursement, regulation, quality, workforce, supply chain, technology, affordability, data, and public-health analysis for healthcare investments.",DAM/DIM/DDMF,high,Sector and decision owner,,"Provides demand, outcomes, capacity, reimbursement, regulation, quality, workforce, supply chain, technology, affordability, data, and public-health analysis for healthcare investments."
09-sector-overlays,real-estate-sez-sector-pack,"Provides land, planning, demand, absorption, infrastructure, tenant, anchor, financing, valuation, governance, environmental, and economic-cluster analysis for real estate and special economic zones.",DAM/DIM/DDMF,high,Sector and decision owner,,"Provides land, planning, demand, absorption, infrastructure, tenant, anchor, financing, valuation, governance, environmental, and economic-cluster analysis for real estate and special economic zones."
10-assurance-evaluation,decision-quality-gate,"Applies mandatory commercial, strategic, governance, impact, execution, evidence, downside, authority, long-term, and auditability tests before a material recommendation proceeds. Use as the final pre-decision assurance gate.",BPI/DAM/DIM/DDMF,critical,Independent assurance and decision authority,,"Applies mandatory commercial, strategic, governance, impact, execution, evidence, downside, authority, long-term, and auditability tests before a material recommendation proceeds. Use as the final pre-decision assurance gate."
10-assurance-evaluation,evidence-citation-auditor,"Verifies that material claims are supported by authoritative, current, traceable sources and that quotations, calculations, and interpretations accurately represent the evidence. Use before formal decision or publication.",BPI/DAM/DIM/DDMF,high,Independent reviewer,,"Verifies that material claims are supported by authoritative, current, traceable sources and that quotations, calculations, and interpretations accurately represent the evidence. Use before formal decision or publication."
10-assurance-evaluation,model-risk-validator,"Assesses model purpose, methodology, data, assumptions, limitations, calibration, sensitivity, governance, reproducibility, and misuse risk. Use for financial, economic, risk, forecasting, scoring, and AI models.",BPI/DAM/DIM/DDMF,critical,Independent model-risk authority,,"Assesses model purpose, methodology, data, assumptions, limitations, calibration, sensitivity, governance, reproducibility, and misuse risk. Use for financial, economic, risk, forecasting, scoring, and AI models."
10-assurance-evaluation,bias-and-independence-review,"Tests anchoring, confirmation, political, sponsor, sunk-cost, optimism, groupthink, selection, and model biases; checks reviewer independence and dissent quality. Use before material decisions and exception approvals.",BPI/DAM/DIM/DDMF,critical,Independent review owner,,"Tests anchoring, confirmation, political, sponsor, sunk-cost, optimism, groupthink, selection, and model biases; checks reviewer independence and dissent quality. Use before material decisions and exception approvals."
10-assurance-evaluation,compliance-policy-checker,"Checks outputs and proposed actions against applicable law, policy, delegations, standards, covenants, approvals, and control requirements; records exceptions and owners. Use before execution or formal submission.",BPI/DAM/DIM/DDMF,critical,Compliance/legal owner,,"Checks outputs and proposed actions against applicable law, policy, delegations, standards, covenants, approvals, and control requirements; records exceptions and owners. Use before execution or formal submission."
10-assurance-evaluation,confidentiality-leakage-check,"Tests documents, prompts, outputs, tools, recipients, metadata, and attachments for unauthorized disclosure of strategic, market-sensitive, personal, contractual, or national-interest information. Use before sharing or publication.",BPI/DAM/DIM/DDMF,critical,Information-security owner,,"Tests documents, prompts, outputs, tools, recipients, metadata, and attachments for unauthorized disclosure of strategic, market-sensitive, personal, contractual, or national-interest information. Use before sharing or publication."
10-assurance-evaluation,audit-trail-packager,"Packages request, evidence, versions, analysis, assumptions, tool actions, challenges, approvals, decisions, conditions, and follow-up into a tamper-evident audit record. Use at every material workflow milestone.",BPI/DAM/DIM/DDMF,high,Records and audit owner,,"Packages request, evidence, versions, analysis, assumptions, tool actions, challenges, approvals, decisions, conditions, and follow-up into a tamper-evident audit record. Use at every material workflow milestone."
10-assurance-evaluation,post-decision-learning,"Compares expected and actual outcomes, identifies thesis or execution errors, captures lessons, updates controls, and assigns corrective actions. Use after milestones, exits, incidents, restructurings, and material decisions.",BPI/DAM/DIM/DDMF,high,Decision owner and assurance,,"Compares expected and actual outcomes, identifies thesis or execution errors, captures lessons, updates controls, and assigns corrective actions. Use after milestones, exits, incidents, restructurings, and material decisions."
10-assurance-evaluation,skill-evaluation-runner,"Runs schema, trigger, non-trigger, functional, golden-case, adversarial, safety, governance, and regression evaluations for Claude Skills. Use before release, after changes, and on a defined monitoring cycle.",BPI,high,AI assurance owner,,"Runs schema, trigger, non-trigger, functional, golden-case, adversarial, safety, governance, and regression evaluations for Claude Skills. Use before release, after changes, and on a defined monitoring cycle."
10-assurance-evaluation,skill-lifecycle-governor,"Controls skill ownership, approval, versioning, dependencies, release, monitoring, incidents, retraining references, deprecation, archival, and periodic recertification. Use for enterprise management of the Danantara skill estate.",BPI,critical,AI Governance Committee,,"Controls skill ownership, approval, versioning, dependencies, release, monitoring, incidents, retraining references, deprecation, archival, and periodic recertification. Use for enterprise management of the Danantara skill estate."
